n,gamma,perceptron_weights,svm_weights,perceptron_error,svm_error,svm/percp
5,0.09004891315249641,[-0.01306119  1.76676352],[1.22658504 2.74109674],0.0,0.0,1.6996823667934067
5,0.18102918204708612,[0.66575975 0.75889186],[1.43574747 1.51051337],0.0,0.0,2.0643166441940943
5,0.7558352001153886,[ 1.18090586 -0.05419954],[-0.36028615  2.2161738 ],1.0,1.0,1.8993112643790038
5,0.2761495717057873,[-1.27967263 -0.81747918],[-3.0176948  -1.03486974],0.0,0.0,2.100899010495982
5,0.5548553101733025,[0.7530929  0.67108694],[2.49631885 1.24585678],0.0,0.0,2.765835162374443
5,0.04540829541314686,[-0.48202474 -1.88863914],[-0.27949864 -1.61104351],0.0,1.0,0.8388697445578183
5,0.05035329847024121,[-1.86747985  1.05435645],[-2.07006595 -0.09441416],0.0,1.0,0.966266017460709
5,0.3866617913354659,[1.19538618 0.0977931 ],[ 2.36067313 -0.48838179],0.0,0.0,2.009924537763358
5,0.1717186218389999,[0.83299091 0.56602742],[1.14782901 2.59468192],0.0,1.0,2.817215170528026
10,0.23966870394393658,[ 1.81562281 -0.56897271],[ 2.0972195  -0.83115225],0.0,0.0,1.1856461865988919
10,0.010312783150217927,[-8.61493681 -0.88594239],[-1.93039241 -0.97799718],0.5,0.5,0.2498737430553294
10,0.09587145075356869,[-2.37916557 -0.88976893],[-1.80130567 -0.43238276],0.0,0.5,0.7292909075082403
10,0.0420737370048165,[-0.49631497  0.03460032],[-1.77780785  0.36166357],0.0,0.5,3.646533806937419
10,0.16416418994119164,[1.01329351 1.08737401],[2.18885008 1.01783466],0.0,0.0,1.624098039750167
10,7.441421537559388,[ 0.20607635 -0.38909236],[ 3.03092422 -1.05066325],0.0,0.5,7.2857045396230475
10,0.016418345456114744,[-0.08999366  0.07333567],[ 0.71132568 -1.12741504],0.0,0.5,11.482948701191038
10,0.11527003020862359,[-0.83226633  0.88759436],[-1.468329    0.22984448],0.0,0.5,1.2214540528074094
10,0.00035031958400596065,[0.56429204 2.70990216],[-0.68972954  2.73293475],0.0,0.0,1.0182787890325375
10,0.09049639809450667,[2.42626996 0.51431412],[2.64054328 0.61102787],0.0,0.0,1.0927897854764472
10,0.2630672556129752,[-0.27470442 -0.84251818],[1.37772427 0.43541597],0.0,0.5,1.6304879113268214
10,0.011912584505649998,[ 3.31711207 -1.8602292 ],[ 1.82916655 -1.3321917 ],0.0,0.5,0.5950045830135194
10,0.02521989786697319,[2.14046354 1.28792409],[2.05284868 0.55900199],0.5,1.0,0.8516979302519676
10,0.035217660575027884,[-2.40829581 -2.15978508],[-1.8231957  -1.53319245],1.0,1.0,0.7363966262335265
10,0.24000013051618313,[0.10658112 0.12027957],[-1.46056616  0.35488855],0.0,0.5,9.352823625028146
10,0.12263826857506895,[-1.16888063  1.30233687],[-0.99090755  2.23623919],0.0,0.0,1.3977159907541663
10,1.2645605071230814,[0.49480535 0.50253408],[ 1.13433509 -0.27359534],0.0,0.0,1.6545467363515678
10,0.7434706578227276,[-0.47292784  0.03280869],[-0.06562887  1.18527397],0.0,0.0,2.504067500689344
10,0.06395669568982193,[-0.34671222 -1.25239892],[-2.04736319  1.03677057],0.0,1.0,1.765984458116254
