n,avg perceptron_error,svm_error
512,0.987265625,0.99609375
512,0.984921875,0.9853515625
512,0.9927685546875,0.9931640625
512,0.9855419921875,0.98779296875
512,0.99625,0.9951171875
512,0.9885400390625,0.98779296875
512,0.9819384765625,0.98681640625
512,0.9853173828125,0.98828125
512,0.9958935546875,0.9921875
512,0.994833984375,0.99169921875
512,0.9856201171875,0.9814453125
512,0.979287109375,0.98583984375
512,0.9940478515625,0.99560546875
512,0.9919287109375,0.9912109375
512,0.9849560546875,0.9775390625
512,0.98404296875,0.98974609375
512,0.997294921875,0.9912109375
512,0.9836865234375,0.9892578125
512,0.9786669921875,0.994140625
512,0.99119140625,0.9912109375
512,0.9952880859375,0.99169921875
512,0.9812744140625,0.98828125
512,0.9943896484375,0.99169921875
512,0.988623046875,0.9833984375
512,0.9858447265625,0.9912109375
512,0.9919970703125,0.97412109375
512,0.9948193359375,0.9921875
512,0.9922021484375,0.98828125
512,0.9916162109375,0.9912109375
512,0.99447265625,0.97607421875
512,0.986962890625,0.994140625
512,0.9958349609375,0.9814453125
512,0.978232421875,0.98876953125
512,0.9945751953125,0.99853515625
512,0.98505859375,0.9775390625
512,0.9924072265625,0.99267578125
512,0.9922021484375,0.9833984375
512,0.986796875,0.9892578125
512,0.9939306640625,0.99951171875
512,0.991484375,0.984375
512,0.9950537109375,0.990234375
512,0.9939697265625,0.98876953125
512,0.995419921875,0.986328125
512,0.980869140625,0.99462890625
512,0.997236328125,0.9853515625
512,0.9957958984375,0.9990234375
512,0.992734375,0.98583984375
512,0.9744287109375,0.99072265625
512,0.990693359375,0.99072265625
512,0.9828564453125,0.9833984375
1024,0.99423583984375,0.992431640625
1024,0.99497314453125,0.99267578125
1024,0.99383544921875,0.99462890625
1024,0.994912109375,0.991943359375
1024,0.99446044921875,0.994140625
1024,0.9905224609375,0.987060546875
1024,0.9943017578125,0.9970703125
1024,0.988828125,0.992431640625
1024,0.9865576171875,0.99609375
1024,0.99860107421875,0.9921875
