n,gamma,perceptron gamma,svm gamma,perceptron_error,svm_error
1400,0.0006204860658004848,7.795918690598429e-05,0.0006205357721851294,0.0,0.0
1400,0.000559090708254031,0.0018383629821784784,0.00020279170114099549,0.0,0.0035714285714285713
1400,0.0004510085828135957,0.0013389783277436742,0.0021736588935190476,0.0,0.007142857142857143
1400,0.00036539053090656795,0.0007537989795736432,0.0007447587685150243,0.0,0.010714285714285714
1500,0.0023894372447350533,0.0004985876363771461,0.0015396739389007916,0.0,0.006666666666666667
1500,0.0009436768752328125,0.00043897409789938826,0.0010684071612263699,0.013333333333333334,0.0
1500,0.0004040090999979941,0.0008878618661021201,5.8909381678015177e-05,0.07333333333333333,0.01
1500,2.434576950069261e-05,0.0012590269842213348,0.0021407673193454204,0.0,0.0
1500,0.0012560660524407491,0.0029449306316268933,0.0006569642165464805,0.0,0.01
1500,0.0005685355754457902,0.0006272274690249714,0.0012721033227619024,0.0,0.0033333333333333335
1500,0.0017282787423837322,0.0017665883391590263,0.00273261775703475,0.0,0.0
1500,2.15860374100929e-05,0.000628162717034441,0.0007505891955330338,0.03333333333333333,0.0033333333333333335
1500,0.0004671951106253003,0.0007324547119248383,0.00024284926238892505,0.0,0.0
1500,0.00042708387257160354,0.0003932702605842965,0.0005173562857895774,0.0,0.0033333333333333335
1600,5.2578092043923336e-05,0.0004855852028243365,0.00011601700668818352,0.0,0.00625
1600,0.0018978496027874186,0.002971747891754395,7.214700071240655e-05,0.0,0.003125
1600,0.0008133729685409658,0.0005110729350634451,0.0012229151675939855,0.003125,0.009375
1600,0.0007067653064305833,0.0005675732597843629,0.0012360787332627893,0.0,0.00625
1600,6.971974740672977e-07,0.000166379803581286,0.001961783519384938,0.05,0.00625
1600,0.0001964481746466124,0.001298331034767029,0.0008224007691417485,0.01875,0.0125
1600,0.00015736262968162282,0.00047461207256270846,0.0015514337912829546,0.015625,0.0125
1600,0.00022985279519802733,0.0009353657936512768,0.0005344688303982135,0.0,0.00625
1600,0.0006105834658378602,0.001057850525586982,0.00026405124302346155,0.0,0.003125
1600,0.0005568570794865647,0.0012214935396057099,0.00025567231261085054,0.0,0.015625
1700,7.68741591799623e-05,0.0021224590356495386,0.00039929975194007654,0.0029411764705882353,0.01764705882352941
1700,0.00043172568059958005,0.00011396452416777941,0.00017578406072136368,0.0,0.0029411764705882353
1700,0.00027562918513937654,0.0010627375633622449,0.0005490153516172238,0.0,0.0029411764705882353
1700,0.0005085741599883036,0.0002943607554412413,0.0002807143081541151,0.020588235294117647,0.0
1700,3.9726467876420345e-05,0.0004167081715595872,0.0010068617649484342,0.0,0.011764705882352941
1700,0.001201605246338847,0.001254576078663809,0.000268402551322305,0.0,0.014705882352941176
1700,6.542219003691573e-05,0.0004860184710197565,0.001062282329295009,0.0,0.0
