n,gamma,perceptron gamma,svm gamma,perceptron_error,svm_error
1100,0.0006940769807184145,0.0010868099175553234,7.366286456253382e-05,0.0,0.02727272727272727
1100,0.0009831481441614405,0.001476609678945348,0.00018045776922351138,0.0,0.0
1100,0.0001545461061655618,0.0002047351866294397,0.00042627004334237566,0.0,0.004545454545454545
1100,0.0010472762239937294,0.0006584656233861284,0.0014640341435782237,0.0,0.022727272727272728
1100,0.0010563617239480938,0.00035452022995713524,3.915592382531741e-05,0.0,0.0
1100,8.648765805842608e-05,0.00012784848830999366,6.831909475550117e-05,0.10454545454545454,0.004545454545454545
1100,0.00015366285465997088,0.001478066325593908,0.00040662968377842026,0.00909090909090909,0.004545454545454545
1100,0.0001387655868308213,0.00010013826180282221,0.0003068790816604629,0.0,0.004545454545454545
1100,1.9581331238585566e-05,0.00025252777054603063,0.0023347606720406627,0.01818181818181818,0.00909090909090909
1100,0.0002518543728823228,0.0003946113138338698,0.0006004911497832382,0.00909090909090909,0.00909090909090909
1100,0.0005278407700204182,0.0009375324847097994,0.0003875255254059151,0.0,0.0
1100,0.0017019732239620666,0.0018492712752895834,0.0019808384940190947,0.0,0.0
1100,0.00021236886491395718,4.346799132135285e-05,0.00013471598119836189,0.0,0.00909090909090909
1100,0.0002581038240923249,0.0002972736997545968,0.0031203508876144156,0.0,0.0
1100,0.003926378269632485,0.004736610146979694,0.00091239934141797,0.0,0.004545454545454545
1100,0.0011757656045125052,0.001003369776628059,0.0004407879129515615,0.004545454545454545,0.013636363636363636
1100,0.0020407614629912975,0.001701258996914926,0.0006770766596530753,0.0,0.013636363636363636
1100,4.723399157984793e-05,1.5287021689416225e-05,0.00014041621543679585,0.0,0.0
1100,0.0007710558862529125,0.0013769188102788074,0.0007166300894165822,0.0,0.00909090909090909
1100,0.00022063064977956358,0.00022325671203709483,0.0004176324935682011,0.05454545454545454,0.004545454545454545
1100,0.0002133393374313252,0.0022685914647970237,0.0018874208619745192,0.06363636363636363,0.004545454545454545
1100,0.00032954254618056524,0.0010982181926436057,0.00048790182066114186,0.0,0.00909090909090909
1100,0.00024869932668812356,0.00023589772454953652,0.00018154042869791712,0.0,0.004545454545454545
1100,0.0005075289139906345,0.0005927276458167893,0.000824790024411948,0.004545454545454545,0.01818181818181818
1100,0.00027892031304531026,0.0005924958867392634,0.002416232996037733,0.04090909090909091,0.013636363636363636
1100,0.00021791692614418106,4.159142331955789e-05,0.0001638925251609776,0.05454545454545454,0.004545454545454545
1100,0.0004995947456870425,0.00650115336017125,0.0005181087217202543,0.05,0.03636363636363636
1100,0.0007326287287215116,0.0011055951129571562,0.00032834508447224123,0.0,0.00909090909090909
1100,2.620780088437466e-05,0.0002853656140472727,0.0012562903190214206,0.0,0.004545454545454545
1100,0.00021121830958454354,4.786050674390483e-05,0.002743944243406576,0.0,0.013636363636363636
1100,0.00023056386487829895,0.00021709376216842347,0.00047046054549364,0.013636363636363636,0.004545454545454545
1100,0.00041306623505953967,0.00038886099756392604,7.201108186909008e-05,0.0,0.004545454545454545
1100,0.00033033706965039406,0.0003510203876137444,0.0011157685804795221,0.0,0.004545454545454545
1100,0.0006517140287163106,0.0021543376318020973,2.963195693564202e-05,0.004545454545454545,0.022727272727272728
1100,0.0010218992938899215,0.0008988436773770079,0.0015074552827357935,0.0,0.004545454545454545
1100,0.00022947333508379155,0.0007899179602896414,0.0020420346737768,0.0,0.00909090909090909
1100,0.0012446648015207698,0.00031619155469115505,0.0006918653511246994,0.004545454545454545,0.00909090909090909
1100,0.0014690338967642657,0.0007814966547612293,0.0018189882966307728,0.004545454545454545,0.00909090909090909
1100,0.00014637544539764652,0.0004772038040793108,0.00018455022915442773,0.0,0.004545454545454545
1100,0.00020759572788361434,0.00021834106963963495,0.00047197169415964633,0.0,0.01818181818181818
1100,0.0011898704982157408,0.0011639036784292067,0.0036201287667071915,0.0,0.02727272727272727
1100,0.0015313517521901938,0.002518701596732144,0.00026505095910511246,0.00909090909090909,0.0
1100,0.0012302218592722697,0.002991552485430354,0.0036282830977412976,0.004545454545454545,0.0
1100,4.536350194979129e-05,0.00027228452796898453,0.0022895611478038766,0.0,0.0
1100,0.0008547267089902757,8.64750933023272e-05,0.0002347068672484795,0.07272727272727272,0.0
1100,0.0015389381601254998,0.001472909653265164,0.001761423437715208,0.00909090909090909,0.01818181818181818
1100,0.0006310378279988125,0.0017767771183326403,0.000300043626297356,0.0,0.01818181818181818
1100,0.0015042730037964393,0.0006947646319709396,0.001269534016677996,0.0,0.004545454545454545
1100,0.0004931026845797441,0.0005187805507542157,0.0008106166371473861,0.0,0.00909090909090909
1100,0.0015841254627003078,0.0008906335175325987,0.0009061030556220914,0.004545454545454545,0.00909090909090909
1100,0.0014566742001539505,0.0018683401885034232,0.00041480903635643574,0.0,0.013636363636363636
1100,0.0005580982686220475,0.0005127228415777097,1.6336549845894873e-05,0.0,0.004545454545454545
1100,0.002138880657608064,0.0007517969409053608,0.00048741952149831535,0.01818181818181818,0.004545454545454545
1100,0.0016465996526252996,0.0009172771191448148,0.0002017445391737877,0.0,0.00909090909090909
1100,0.00020131308013287045,0.0009226684182350546,0.0005800059694600467,0.004545454545454545,0.0
1100,0.0009303603462796325,0.0008053946728163036,0.0009341719582566329,0.0,0.022727272727272728
1100,0.0002557532162299485,0.0007493176292971941,0.0023811638843387675,0.07272727272727272,0.0
1100,0.0006472750897440727,0.0006529977852394892,0.002794427395674736,0.0,0.00909090909090909
1100,0.0005961902492792591,0.0006052321110595899,0.0009504932667325072,0.0,0.0
1100,0.00038750724575433977,0.0006747482592720648,4.741027471960091e-05,0.0,0.004545454545454545
1100,0.0023852392184295175,0.0016497657310757838,0.00015155825874567163,0.0,0.004545454545454545
1100,0.0019004110430150623,0.001629840326443778,0.0007626683184283065,0.0,0.0
1100,0.00016310692217222597,0.00022719680726514642,0.004108738917580405,0.0,0.0
