n,avg perceptron_error,svm_error
64,0.9764499999999997,0.908125
64,0.987125,0.97875
64,0.9653187500000001,0.919375
64,0.9782375000000001,0.938125
64,0.9855000000000002,0.980625
64,0.96930625,0.98375
64,0.9737562500000001,0.9475
64,0.9886375,0.981875
64,0.9818937499999998,0.974375
64,0.9766062500000001,0.959375
64,0.9872562500000001,0.938125
64,0.99164375,0.9375
64,0.9842250000000001,0.9775
64,0.9838374999999999,0.93875
64,0.9879875,0.995
64,0.9736875,0.969375
64,0.9610249999999999,0.95875
64,0.95666875,0.909375
64,0.96443125,0.923125
64,0.9818062499999998,0.978125
64,0.9688749999999999,0.9475
64,0.9786250000000001,0.95375
64,0.9860499999999999,0.954375
64,0.9614562500000001,0.97375
64,0.98444375,0.98125
64,0.9658062500000001,0.965625
64,0.9577437500000001,0.921875
64,0.9746062500000001,0.9725
64,0.97401875,0.928125
64,0.9849812499999999,0.95875
64,0.9738562500000001,0.950625
64,0.9788375,0.9575
64,0.9818812500000001,0.983125
64,0.9853375,0.9575
64,0.9624125000000001,0.953125
64,0.98775625,0.941875
64,0.9802500000000001,0.97375
64,0.9422312500000001,0.945625
64,0.9849312500000003,0.981875
64,0.9857437499999999,0.964375
64,0.9778187500000002,0.978125
64,0.9754562500000001,0.97375
64,0.9733187500000001,0.9275
64,0.9880500000000002,0.960625
64,0.9708874999999999,0.961875
64,0.9796375,0.97625
64,0.9828999999999999,0.9725
64,0.98398125,0.996875
64,0.9703562500000001,0.97875
64,0.9903625000000001,0.979375
64,0.97930625,0.979375
64,0.9886250000000001,0.95375
64,0.9869937499999999,0.991875
64,0.9719875000000002,0.91125
64,0.9801625000000002,0.9525
64,0.9786812500000001,0.95125
64,0.9749875000000001,0.975625
64,0.9635124999999999,0.989375
64,0.9594874999999999,0.903125
64,0.9720937500000001,0.9625
64,0.9793875000000001,0.93875
64,0.9911249999999999,0.96375
64,0.98305,0.950625
64,0.9846375,0.991875
64,0.9810187499999999,0.980625
64,0.98353125,0.93875
64,0.9808875,0.93375
64,0.9697937500000002,0.948125
64,0.9614250000000001,0.9525
64,0.9651687500000001,0.99125
64,0.9741500000000001,0.92
64,0.99115,0.96125
64,0.9798812499999999,0.978125
64,0.98298125,0.94375
64,0.9762250000000001,0.90875
64,0.9837312500000001,0.944375
64,0.9811999999999997,0.959375
64,0.9757687500000002,0.976875
64,0.98549375,0.975
64,0.9859125,0.98875
64,0.9850312500000001,0.960625
64,0.9825499999999999,0.97625
64,0.9828000000000001,0.928125
64,0.9775125000000001,0.981875
64,0.9649687500000002,0.9675
64,0.9868687499999999,0.97
64,0.96541875,0.981875
64,0.985725,0.974375
64,0.9875937500000002,0.970625
64,0.98370625,0.959375
64,0.9914562499999999,0.9325
64,0.9840875,0.938125
128,0.9799,0.9778125
128,0.984809375,0.9746875
128,0.978703125,0.9721875
128,0.9844937500000001,0.9575
128,0.98423125,0.9903125
128,0.9924499999999999,0.9915625
128,0.9822062500000002,0.9665625
128,0.9897718750000002,0.9765625
128,0.9731375,0.9696875
128,0.9872531249999998,0.9590625
128,0.9859718749999999,0.9696875
128,0.9803593749999999,0.9840625
128,0.989353125,0.98
128,0.97941875,0.9625
128,0.9858093750000002,0.9796875
128,0.9890375,0.9765625
128,0.9813218750000001,0.985
128,0.993003125,0.9903125
128,0.9827843750000003,0.994375
128,0.9854937499999998,0.9771875
128,0.9888781249999999,0.971875
128,0.9864812499999998,0.9840625
128,0.986640625,0.9509375
128,0.9744562499999999,0.9678125
128,0.9924250000000001,0.99625
128,0.987015625,0.973125
128,0.9792562500000002,0.9621875
128,0.98725625,0.9615625
128,0.986715625,0.98625
128,0.9909874999999999,0.9678125
128,0.9860312499999999,0.98
128,0.977965625,0.9803125
128,0.9886499999999999,0.96125
128,0.9655968750000002,0.953125
128,0.9924937499999998,0.98625
128,0.9916125,0.978125
128,0.9916687499999998,0.9909375
128,0.9868406249999999,0.97125
128,0.99025,0.98
128,0.99105,0.9890625
128,0.9865999999999999,0.956875
128,0.9904093750000001,0.9859375
128,0.9933999999999998,0.9778125
128,0.9904406249999999,0.9909375
128,0.9885718750000001,0.9653125
128,0.9842875,0.9884375
128,0.979575,0.956875
128,0.9814781249999999,0.9825
128,0.9898,0.9746875
128,0.9875375000000001,0.96125
128,0.989396875,0.9721875
128,0.9763937500000002,0.9515625
128,0.9827593750000001,0.9778125
128,0.98158125,0.9753125
128,0.9893906250000002,0.9903125
128,0.99059375,0.983125
128,0.98380625,0.973125
128,0.9846343750000002,0.9609375
128,0.988709375,0.975
128,0.9871906250000001,0.99
128,0.9796687499999999,0.981875
128,0.975796875,0.98875
128,0.9698875000000001,0.9871875
128,0.98258125,0.95375
128,0.987,0.94
128,0.9760875,0.9665625
128,0.98253125,0.980625
128,0.9885874999999998,0.9825
128,0.9865124999999999,0.95625
128,0.9877406249999998,0.965625
128,0.9783374999999999,0.99
128,0.9920250000000003,0.9690625
128,0.9824312500000001,0.9890625
128,0.9914781249999998,0.97
128,0.9933781250000001,0.9803125
128,0.9887625,0.988125
128,0.9911875000000001,0.969375
128,0.988128125,0.9784375
128,0.96635,0.9840625
128,0.9748749999999999,0.958125
128,0.988978125,0.976875
128,0.982225,0.96125
128,0.9776312500000001,0.963125
128,0.9862218750000002,0.9628125
128,0.9806124999999999,0.98125
128,0.982275,0.9734375
128,0.9863468750000003,0.985
128,0.990875,0.959375
128,0.98675625,0.983125
128,0.9845250000000001,0.9840625
128,0.9920500000000001,0.9803125
128,0.9919218750000001,0.99
128,0.983825,0.9765625
128,0.9877125000000001,0.965625
128,0.984121875,0.9471875
128,0.9869031249999999,0.9840625
128,0.9712437499999999,0.9375
128,0.9919125000000001,0.9765625
128,0.978796875,0.995
128,0.987475,0.9921875
256,0.9893406249999999,0.9925
256,0.98785,0.99078125
256,0.9787343749999999,0.98609375
256,0.9935171875000002,0.99078125
256,0.9893921874999998,0.996875
256,0.990371875,0.99390625
256,0.9894234375000001,0.99234375
256,0.9890765625,0.98625
256,0.9843578124999999,0.9890625
256,0.9707046874999997,0.98203125
256,0.9949875,0.98328125
256,0.9870625,0.988125
256,0.9909984374999999,0.98390625
256,0.9935343749999999,0.98078125
256,0.9756999999999999,0.99046875
256,0.98875,0.9734375
256,0.9883062499999999,0.99296875
256,0.9808984375,0.996875
256,0.9853671875000001,0.97796875
256,0.9886953124999998,0.9796875
256,0.991459375,0.98296875
256,0.9784312499999999,0.99234375
256,0.9963703125,0.985
256,0.979446875,0.9696875
256,0.99371875,0.98875
256,0.994184375,0.965625
256,0.9819359374999999,0.98796875
256,0.9911390625000002,0.98765625
256,0.9899031250000001,0.99234375
256,0.9774406250000003,0.974375
256,0.9833453125,0.988125
256,0.9958218750000001,0.98765625
256,0.9805875,0.9728125
256,0.9949984374999998,0.9975
256,0.9892624999999999,0.99203125
256,0.9930453125,0.9840625
256,0.9908140625,0.96578125
256,0.989490625,0.970625
256,0.9862687500000001,0.97515625
256,0.9812328124999999,0.9740625
256,0.991309375,0.9790625
256,0.9889984374999998,0.974375
256,0.9912703125000002,0.97359375
256,0.9861218749999999,0.98828125
256,0.989703125,0.98625
256,0.9827609375,0.9715625
256,0.977559375,0.9940625
256,0.9942609374999999,0.974375
256,0.979828125,0.9709375
256,0.9965812500000001,0.98171875
256,0.99329375,0.99171875
256,0.9815609375,0.99265625
256,0.9930781249999999,0.98734375
256,0.9938296875,0.98265625
256,0.9946890624999999,0.9828125
256,0.9843968750000001,0.99125
256,0.9903062500000002,0.9790625
256,0.9877328125000001,0.979375
256,0.9920906249999999,0.974375
256,0.9960968749999999,0.97484375
256,0.9885250000000001,0.989375
256,0.9935203125000001,0.9871875
256,0.994315625,0.978125
256,0.9955875000000001,0.97484375
256,0.9832953125,0.97609375
256,0.9842359374999999,0.97125
256,0.9930578125000001,0.97890625
256,0.982409375,0.99484375
256,0.9924703125,0.98109375
256,0.9948171875000001,0.98890625
256,0.9944062500000002,0.9915625
256,0.9943359375,0.99015625
256,0.9856812499999998,0.98796875
256,0.9954140625000001,0.9828125
256,0.9916046875000001,0.9928125
256,0.9794953125000001,0.976875
256,0.9930562500000001,0.9859375
256,0.9798203124999999,0.96375
256,0.9902171875000002,0.9890625
256,0.993365625,0.9875
256,0.9915140625,0.99109375
256,0.986390625,0.98390625
256,0.9818250000000001,0.97171875
256,0.9925953125000001,0.9884375
256,0.9937156249999998,0.9915625
256,0.9905671875000001,0.9821875
256,0.995315625,0.985
256,0.9614734375,0.99890625
256,0.9888921875000001,0.99234375
256,0.988475,0.9934375
256,0.9919312499999999,0.99265625
