n,margin,avg perceptron_error,svm_error
100,0.4579699130736291,0.9086519999999999,0.9956
100,0.4583943340952598,0.9287559999999998,0.9952
100,0.4628256626570674,0.9352039999999998,0.9928
100,0.4736494462236777,0.9369679999999998,0.9948
100,0.4803026254176385,0.9298920000000002,0.9916
100,0.48317350019325317,0.931004,0.9932
100,0.4889415642470625,0.920228,0.9872
100,0.48930345077022463,0.919332,0.992
100,0.4909033150469319,0.921832,0.9904
100,0.49750638830425603,0.928204,0.9988
100,0.49841877502754567,0.94086,0.9948
100,0.4998523127518564,0.9203199999999998,0.99
100,0.5003424513540867,0.9141119999999998,0.9972
100,0.5052862539299013,0.9215040000000001,0.992
100,0.5187830759059644,0.929224,0.9944
100,0.5246900530582204,0.8956240000000001,0.9964
100,0.5261212039781761,0.913112,0.9972
100,0.5399360964850901,0.909448,0.9976
100,0.5561149426320993,0.9137040000000001,0.9868
100,0.5597765785531879,0.9048480000000001,0.998
100,0.5601598605584633,0.9218639999999999,0.9956
100,0.5642124136361091,0.8995760000000002,0.9908
100,0.5881099649713922,0.9113039999999999,0.9896
100,0.5887686709902938,0.9077959999999998,0.986
100,0.5961048513461373,0.9130119999999998,0.9968
100,0.600415994195731,0.9155199999999999,0.984
100,0.6029213655566082,0.921324,0.9984
100,0.6035941022877203,0.9060640000000001,0.9932
100,0.6057955588176206,0.914228,0.9972
100,0.613103548330445,0.9172080000000001,0.9896
100,0.6132126550013977,0.9120360000000001,0.9916
100,0.6221602202499813,0.9150040000000003,0.9988
100,0.6232491646249113,0.9169760000000001,0.9972
100,0.6244648852641664,0.8999679999999999,0.9916
100,0.6319080928356938,0.9163560000000001,0.996
100,0.029549431603832832,0.9898360000000003,0.986
100,0.03442344160133029,0.9830960000000001,0.9432
100,0.03587715535479496,0.988396,0.9808
100,0.040006627890619956,0.9892,0.966
100,0.040818030033352014,0.991424,0.978
100,0.048063277168209344,0.9835839999999999,0.9564
100,0.049621508656890495,0.9900639999999999,0.9812
